,image,label,dataset_split
257,454.jpg,1,train
258,455.jpg,1,test
259,456.jpg,1,test
260,457.jpg,1,train
261,458.jpg,1,train
262,459.jpg,1,train
263,460.jpg,1,train
264,461.jpg,1,train
265,462.jpg,1,train
266,463.jpg,1,train
267,464.jpg,1,train
268,465.jpg,1,train
269,466.jpg,1,train
270,467.jpg,1,test
271,468.jpg,1,train
272,469.jpg,1,test
273,470.jpg,1,test
274,471.jpg,1,test
275,472.jpg,1,test
276,473.jpg,1,train
277,474.jpg,1,train
278,475.jpg,1,test
279,476.jpg,1,test
280,477.jpg,1,train
281,478.jpg,1,train
282,479.jpg,1,train
283,480.jpg,1,train
284,481.jpg,1,train
285,482.jpg,1,test
286,483.jpg,1,train
287,484.jpg,1,train
288,485.jpg,1,train
289,486.jpg,1,train
290,487.jpg,1,train
291,488.jpg,1,train
292,489.jpg,1,train
293,490.jpg,1,train
294,491.jpg,1,test
295,492.jpg,1,train
296,493.jpg,1,val
297,494.jpg,1,train
298,495.jpg,1,test
299,496.jpg,1,val
300,497.jpg,1,train
301,498.jpg,1,train
302,499.jpg,1,train
303,500.jpg,1,train
304,501.jpg,1,train
305,502.jpg,1,train
306,503.jpg,1,test
307,504.jpg,1,train
308,505.jpg,1,test
309,506.jpg,1,test
310,507.jpg,1,train
311,508.jpg,1,train
312,509.jpg,1,train
313,510.jpg,1,train
314,511.jpg,1,train
315,512.jpg,1,train
316,513.jpg,1,test
317,514.jpg,1,val
318,515.jpg,1,test
319,516.jpg,1,train
320,517.jpg,1,test
321,518.jpg,1,val
322,519.jpg,1,train
323,520.jpg,1,test
324,521.jpg,1,train
325,522.jpg,1,train
326,523.jpg,1,train
327,524.jpg,1,test
328,525.jpg,1,train
329,526.jpg,1,train
330,527.jpg,1,test
331,528.jpg,1,test
332,529.jpg,1,train
333,530.jpg,1,train
334,531.jpg,1,train
335,532.jpg,1,train
336,533.jpg,1,train
337,534.jpg,1,test
338,535.jpg,1,train
339,536.jpg,1,train
340,537.jpg,1,train
341,538.jpg,1,val
342,539.jpg,1,val
343,540.jpg,1,test
344,541.jpg,1,test
345,542.jpg,1,train
346,543.jpg,1,train
347,544.jpg,1,train
348,545.jpg,1,train
349,546.jpg,1,train
350,547.jpg,1,train
351,548.jpg,1,train
352,549.jpg,1,train
353,550.jpg,1,val
354,551.jpg,1,train
355,552.jpg,1,val
356,553.jpg,1,train
357,554.jpg,1,train
358,555.jpg,1,train
359,556.jpg,1,test
360,557.jpg,1,test
361,558.jpg,1,train
362,559.jpg,1,val
363,560.jpg,1,train
364,561.jpg,1,test
365,562.jpg,1,test
366,563.jpg,1,train
367,564.jpg,1,val
368,565.jpg,1,train
369,566.jpg,1,val
370,567.jpg,1,test
371,568.jpg,1,train
372,569.jpg,1,train
373,570.jpg,1,test
374,571.jpg,1,train
375,572.jpg,1,test
376,573.jpg,1,test
377,574.jpg,1,val
378,575.jpg,1,train
379,576.jpg,1,test
380,577.jpg,1,test
381,578.jpg,1,train
382,579.jpg,1,train
383,580.jpg,1,train
384,581.jpg,1,test
385,582.jpg,1,train
386,583.jpg,1,val
387,584.jpg,1,train
388,585.jpg,1,train
389,586.jpg,1,train
390,587.jpg,1,val
391,588.jpg,1,train
392,589.jpg,1,val
393,590.jpg,1,train
394,591.jpg,1,train
395,592.jpg,1,train
396,593.jpg,1,train
397,594.jpg,1,train
398,595.jpg,1,test
399,596.jpg,1,train
400,597.jpg,1,train
401,598.jpg,1,train
402,599.jpg,1,train
403,600.jpg,1,train
404,601.jpg,1,train
405,602.jpg,1,test
406,603.jpg,1,train
407,604.jpg,1,test
408,605.jpg,1,train
409,606.jpg,1,test
410,607.jpg,1,train
411,608.jpg,1,train
412,609.jpg,1,test
413,610.jpg,1,val
414,611.jpg,1,train
415,612.jpg,1,test
416,613.jpg,1,train
417,614.jpg,1,train
418,615.jpg,1,train
419,616.jpg,1,train
420,617.jpg,1,test
421,618.jpg,1,train
422,619.jpg,1,train
423,620.jpg,1,train
424,621.jpg,1,train
425,622.jpg,1,train
426,623.jpg,1,test
427,624.jpg,1,train
428,625.jpg,1,test
429,626.jpg,1,val
430,627.jpg,1,test
431,628.jpg,1,train
432,629.jpg,1,test
433,630.jpg,1,train
434,631.jpg,1,val
435,632.jpg,1,train
436,633.jpg,1,val
437,634.jpg,1,test
438,635.jpg,1,train
439,636.jpg,1,train
440,637.jpg,1,train
441,638.jpg,1,train
442,639.jpg,1,test
443,640.jpg,1,train
444,641.jpg,1,train
445,642.jpg,1,train
446,643.jpg,1,test
447,644.jpg,1,train
448,645.jpg,1,train
449,646.jpg,1,test
450,647.jpg,1,train
451,648.jpg,1,train
452,649.jpg,1,val
453,650.jpg,1,train
454,651.jpg,1,val
455,652.jpg,1,train
456,653.jpg,1,val
457,654.jpg,1,train
458,655.jpg,1,train
459,656.jpg,1,train
460,657.jpg,1,train
461,658.jpg,1,train
462,659.jpg,1,val
463,660.jpg,1,train
464,661.jpg,1,test
465,662.jpg,1,train
466,663.jpg,1,train
467,664.jpg,1,train
468,665.jpg,1,test
469,666.jpg,1,train
470,667.jpg,1,train
471,668.jpg,1,train
472,669.jpg,1,train
473,670.jpg,1,test
474,671.jpg,1,train
475,672.jpg,1,test
476,673.jpg,1,train
477,674.jpg,1,test
478,675.jpg,1,train
479,676.jpg,1,val
480,677.jpg,1,train
481,678.jpg,1,test
482,679.jpg,1,train
483,680.jpg,1,test
484,681.jpg,1,train
485,682.jpg,1,train
486,683.jpg,1,val
487,684.jpg,1,train
488,685.jpg,1,train
489,686.jpg,1,train
490,687.jpg,1,train
491,688.jpg,1,train
492,689.jpg,1,train
493,690.jpg,1,train
494,691.jpg,1,train
495,692.jpg,1,train
496,693.jpg,1,train
497,694.jpg,1,train
498,695.jpg,1,train
499,696.jpg,1,train
500,697.jpg,1,test
501,698.jpg,1,train
502,699.jpg,1,test
503,700.jpg,1,test
504,701.jpg,1,train
505,702.jpg,1,train
506,703.jpg,1,val
507,704.jpg,1,test
508,705.jpg,1,train
509,706.jpg,1,train
510,707.jpg,1,train
511,708.jpg,1,train
512,709.jpg,1,train
513,710.jpg,1,train
514,711.jpg,1,train
515,712.jpg,1,train
516,713.jpg,1,train
517,714.jpg,1,train
518,715.jpg,1,train
519,716.jpg,1,train
520,717.jpg,1,train
521,718.jpg,1,train
522,719.jpg,1,train
523,720.jpg,1,test
524,721.jpg,1,test
525,722.jpg,1,train
526,723.jpg,1,test
527,724.jpg,1,test
528,725.jpg,1,test
529,726.jpg,1,train
530,727.jpg,1,train
531,728.jpg,1,test
532,729.jpg,1,train
533,730.jpg,1,test
534,731.jpg,1,test
535,732.jpg,1,train
536,733.jpg,1,train
537,734.jpg,1,train
538,735.jpg,1,train
539,736.jpg,1,train
540,737.jpg,1,test
541,738.jpg,1,val
542,739.jpg,1,train
543,740.jpg,1,train
544,741.jpg,1,test
545,742.jpg,1,val
546,743.jpg,1,train
547,744.jpg,1,train
548,745.jpg,1,test
549,746.jpg,1,train
550,747.jpg,1,train
551,748.jpg,1,test
552,749.jpg,1,train
553,750.jpg,1,train
554,751.jpg,1,train
555,752.jpg,1,train
556,753.jpg,1,train
557,754.jpg,1,test
558,755.jpg,1,train
559,756.jpg,1,test
560,757.jpg,1,test
561,758.jpg,1,train
562,759.jpg,1,val
563,760.jpg,1,train
564,761.jpg,1,val
565,762.jpg,1,test
566,763.jpg,1,train
567,764.jpg,1,train
568,765.jpg,1,train
569,766.jpg,1,train
570,767.jpg,1,test
571,768.jpg,1,val
572,769.jpg,1,train
573,770.jpg,1,test
574,771.jpg,1,test
575,772.jpg,1,train
576,773.jpg,1,train
577,774.jpg,1,train
578,775.jpg,1,train
579,776.jpg,1,test
580,777.jpg,1,train
581,778.jpg,1,test
582,779.jpg,1,train
583,780.jpg,1,train
584,781.jpg,1,train
585,782.jpg,1,train
586,783.jpg,1,train
587,784.jpg,1,train
588,785.jpg,1,train
589,786.jpg,1,train
590,787.jpg,1,train
591,788.jpg,1,train
592,789.jpg,1,test
593,790.jpg,1,train
594,791.jpg,1,train
595,792.jpg,1,train
596,793.jpg,1,train
597,794.jpg,1,train
598,795.jpg,1,train
599,796.jpg,1,train
600,797.jpg,1,train
601,798.jpg,1,train
602,799.jpg,1,train
603,800.jpg,1,test
604,801.jpg,1,train
605,802.jpg,1,train
606,803.jpg,1,train
607,804.jpg,1,train
608,805.jpg,1,train
609,806.jpg,1,train
610,807.jpg,1,train
611,808.jpg,1,train
612,809.jpg,1,train
613,810.jpg,1,train
614,811.jpg,1,train
615,812.jpg,1,train
616,813.jpg,1,train
617,814.jpg,1,test
618,815.jpg,1,train
619,816.jpg,1,train
620,817.jpg,1,train
621,818.jpg,1,train
622,819.jpg,1,train
623,820.jpg,1,train
624,821.jpg,1,train
625,822.jpg,1,train
626,823.jpg,1,test
627,824.jpg,1,val
628,825.jpg,1,train
629,826.jpg,1,train
630,827.jpg,1,test
631,828.jpg,1,train
632,829.jpg,1,train
633,830.jpg,1,test
634,831.jpg,1,train
635,832.jpg,1,train
636,833.jpg,1,train
637,834.jpg,1,val
638,835.jpg,1,train
639,836.jpg,1,test
640,837.jpg,1,train
641,838.jpg,1,val
642,839.jpg,1,test
643,840.jpg,1,val
644,841.jpg,1,train
645,842.jpg,1,train
646,843.jpg,1,train
647,844.jpg,1,train
648,845.jpg,1,train
649,846.jpg,1,train
650,847.jpg,1,test
651,848.jpg,1,train
652,849.jpg,1,train
653,850.jpg,1,train
654,851.jpg,1,train
655,852.jpg,1,train
656,853.jpg,1,train
657,854.jpg,1,train
658,855.jpg,1,train
659,856.jpg,1,train
660,857.jpg,1,train
661,858.jpg,1,train
662,859.jpg,1,test
663,860.jpg,1,train
664,861.jpg,1,val
665,862.jpg,1,train
666,863.jpg,1,train
667,864.jpg,1,train
668,865.jpg,1,test
669,866.jpg,1,train
670,867.jpg,1,train
671,868.jpg,1,train
672,869.jpg,1,val
673,870.jpg,1,train
674,871.jpg,1,train
675,872.jpg,1,train
676,873.jpg,1,train
677,874.jpg,1,train
678,875.jpg,1,train
679,876.jpg,1,test
680,877.jpg,1,train
681,878.jpg,1,train
682,879.jpg,1,train
683,880.jpg,1,val
684,881.jpg,1,test
685,882.jpg,1,train
686,883.jpg,1,val
687,884.jpg,1,train
688,885.jpg,1,val
689,886.jpg,1,val
690,887.jpg,1,train
691,888.jpg,1,train
692,889.jpg,1,train
693,890.jpg,1,val
694,891.jpg,1,test
695,892.jpg,1,train
696,893.jpg,1,train
697,894.jpg,1,train
698,895.jpg,1,train
699,896.jpg,1,val
700,897.jpg,1,train
701,898.jpg,1,test
702,899.jpg,1,train
703,900.jpg,1,train
704,901.jpg,1,test
705,902.jpg,1,train
706,903.jpg,1,train
707,904.jpg,1,train
708,905.jpg,1,test
709,906.jpg,1,train
710,907.jpg,1,train
711,908.jpg,1,train
712,909.jpg,1,test
713,910.jpg,1,train
714,911.jpg,1,train
715,912.jpg,1,train
716,913.jpg,1,val
717,914.jpg,1,train
718,915.jpg,1,train
719,916.jpg,1,train
720,917.jpg,1,train
721,918.jpg,1,train
722,919.jpg,1,train
723,920.jpg,1,val
724,921.jpg,1,test
725,922.jpg,1,train
726,923.jpg,1,train
727,924.jpg,1,train
728,925.jpg,1,test
729,926.jpg,1,train
730,927.jpg,1,train
731,928.jpg,1,train
732,929.jpg,1,test
733,930.jpg,1,train
734,931.jpg,1,train
735,932.jpg,1,train
736,933.jpg,1,val
737,934.jpg,1,train
738,935.jpg,1,train
739,936.jpg,1,train
740,937.jpg,1,train
741,938.jpg,1,test
742,939.jpg,1,val
743,940.jpg,1,train
744,941.jpg,1,train
745,942.jpg,1,train
746,943.jpg,1,train
747,944.jpg,1,test
748,945.jpg,1,train
749,946.jpg,1,val
750,947.jpg,1,train
751,948.jpg,1,train
752,949.jpg,1,train
753,950.jpg,1,train
754,951.jpg,1,train
755,952.jpg,1,train
756,953.jpg,1,train
757,954.jpg,1,train
758,955.jpg,1,val
759,956.jpg,1,val
760,957.jpg,1,test
761,958.jpg,1,train
762,959.jpg,1,train
763,960.jpg,1,train
764,961.jpg,1,test
765,962.jpg,1,train
766,963.jpg,1,test
767,964.jpg,1,test
768,965.jpg,1,test
769,966.jpg,1,train
770,967.jpg,1,train
771,968.jpg,1,train
772,969.jpg,1,train
773,970.jpg,1,test
774,971.jpg,1,train
775,972.jpg,1,train
776,973.jpg,1,train
777,974.jpg,1,train
778,975.jpg,1,train
779,976.jpg,1,train
780,977.jpg,1,train
781,978.jpg,1,train
782,979.jpg,1,train
783,980.jpg,1,train
784,981.jpg,1,test
785,982.jpg,1,train
786,983.jpg,1,train
787,984.jpg,1,train
788,985.jpg,1,train
789,986.jpg,1,train
790,987.jpg,1,train
791,988.jpg,1,test
792,989.jpg,1,train
793,990.jpg,1,train
794,991.jpg,1,train
795,992.jpg,1,train
796,993.jpg,1,test
797,994.jpg,1,val
798,995.jpg,1,val
799,996.jpg,1,test
800,997.jpg,1,train
801,998.jpg,1,val
802,999.jpg,1,test
803,1000.jpg,1,train
804,1001.jpg,1,val
805,1002.jpg,1,train
806,1003.jpg,1,train
807,1004.jpg,1,test
808,1005.jpg,1,val
809,1006.jpg,1,train
810,1007.jpg,1,test
811,1008.jpg,1,train
812,1009.jpg,1,train
813,1010.jpg,1,test
814,1011.jpg,1,train
815,1012.jpg,1,train
816,1013.jpg,1,train
817,1014.jpg,1,train
818,1015.jpg,1,train
819,1016.jpg,1,val
820,1017.jpg,1,train
821,1018.jpg,1,train
822,1019.jpg,1,train
823,1020.jpg,1,train
824,1021.jpg,1,train
825,1022.jpg,1,train
826,1023.jpg,1,train
827,1024.jpg,1,train
828,1025.jpg,1,train
829,1026.jpg,1,train
830,1027.jpg,1,train
831,1028.jpg,1,train
832,1029.jpg,1,train
833,1030.jpg,1,train
834,1031.jpg,1,test
835,1032.jpg,1,train
836,1033.jpg,1,train
837,1034.jpg,1,train
838,1035.jpg,1,test
839,1036.jpg,1,test
840,1037.jpg,1,train
841,1038.jpg,1,val
842,1039.jpg,1,train
843,1040.jpg,1,train
844,1041.jpg,1,train
845,1042.jpg,1,train
846,1043.jpg,1,train
847,1044.jpg,1,val
848,1045.jpg,1,train
849,1046.jpg,1,train
850,1047.jpg,1,train
851,1048.jpg,1,train
852,1049.jpg,1,train
853,1050.jpg,1,test
854,1051.jpg,1,test
855,1052.jpg,1,test
856,1053.jpg,1,train
857,1054.jpg,1,train
858,1055.jpg,1,train
859,1056.jpg,1,train
860,1057.jpg,1,train
861,1058.jpg,1,train
862,1059.jpg,1,val
863,1060.jpg,1,train
864,1061.jpg,1,test
865,1062.jpg,1,train
866,1063.jpg,1,train
867,1064.jpg,1,train
868,1065.jpg,1,test
869,1066.jpg,1,train
870,1067.jpg,1,val
871,1068.jpg,1,train
872,1069.jpg,1,train
873,1070.jpg,1,test
874,1071.jpg,1,test
875,1072.jpg,1,test
876,1073.jpg,1,train
877,1074.jpg,1,test
878,1075.jpg,1,train
879,1076.jpg,1,val
880,1077.jpg,1,train
881,1078.jpg,1,train
882,1079.jpg,1,test
883,1080.jpg,1,train
884,1081.jpg,1,train
885,1082.jpg,1,train
886,1083.jpg,1,train
887,1084.jpg,1,val
888,1085.jpg,1,train
889,1086.jpg,1,train
890,1087.jpg,1,test
891,1088.jpg,1,train
892,1089.jpg,1,val
893,1090.jpg,1,train
894,1091.jpg,1,train
895,1092.jpg,1,train
896,1093.jpg,1,train
897,1094.jpg,1,train
898,1095.jpg,1,train
899,1096.jpg,1,train
900,1097.jpg,1,train
901,1098.jpg,1,train
902,1099.jpg,1,train
903,1100.jpg,1,train
904,1101.jpg,1,test
905,1102.jpg,1,test
906,1103.jpg,1,train
907,1104.jpg,1,train
908,1105.jpg,1,test
909,1106.jpg,1,train
910,1107.jpg,1,train
911,1108.jpg,1,test
912,1109.jpg,1,train
913,1110.jpg,1,train
914,1111.jpg,1,val
915,1112.jpg,1,test
916,1113.jpg,1,train
917,1114.jpg,1,train
918,1115.jpg,1,train
919,1116.jpg,1,train
920,1117.jpg,1,train
921,1118.jpg,1,train
922,1119.jpg,1,train
923,1120.jpg,1,train
924,1121.jpg,1,train
925,1122.jpg,1,test
926,1123.jpg,1,test
927,1124.jpg,1,train
928,1125.jpg,1,train
929,1126.jpg,1,train
930,1127.jpg,1,train
931,1128.jpg,1,train
932,1129.jpg,1,test
933,1130.jpg,1,train
934,1131.jpg,1,val
935,1132.jpg,1,test
936,1133.jpg,1,test
937,1134.jpg,1,val
938,1135.jpg,1,test
939,1136.jpg,1,train
940,1137.jpg,1,train
941,1138.jpg,1,train
942,1139.jpg,1,train
943,1140.jpg,1,train
944,1141.jpg,1,train
945,1142.jpg,1,train
946,1143.jpg,1,train
947,1144.jpg,1,train
948,1145.jpg,1,train
949,1146.jpg,1,train
950,1147.jpg,1,val
951,1148.jpg,1,train
952,1149.jpg,1,train
953,1150.jpg,1,train
954,1151.jpg,1,train
955,1152.jpg,1,train
956,1153.jpg,1,test
957,1154.jpg,1,train
958,1155.jpg,1,train
959,1156.jpg,1,train
960,1157.jpg,1,train
961,1158.jpg,1,test
962,1159.jpg,1,val
963,1160.jpg,1,train
964,1161.jpg,1,train
965,1162.jpg,1,train
966,1163.jpg,1,train
967,1164.jpg,1,train
968,1165.jpg,1,train
969,1166.jpg,1,train
970,1167.jpg,1,train
971,1168.jpg,1,train
972,1169.jpg,1,test
973,1170.jpg,1,test
974,1171.jpg,1,train
975,1172.jpg,1,train
976,1173.jpg,1,test
977,1174.jpg,1,train
978,1175.jpg,1,train
979,1176.jpg,1,train
980,1177.jpg,1,train
981,1178.jpg,1,test
982,1179.jpg,1,train
983,1180.jpg,1,test
984,1181.jpg,1,train
985,1182.jpg,1,train
986,1183.jpg,1,train
987,1184.jpg,1,train
988,1185.jpg,1,test
989,1186.jpg,1,train
990,1187.jpg,1,train
991,1188.jpg,1,train
992,1189.jpg,1,train
993,1190.jpg,1,test
994,1191.jpg,1,val
995,1192.jpg,1,test
996,1193.jpg,1,train
997,1194.jpg,1,train
998,1195.jpg,1,train
999,1196.jpg,1,val
1000,1197.jpg,1,test
1001,1198.jpg,1,train
1002,1199.jpg,1,test
1003,1200.jpg,1,test
1004,1201.jpg,1,val
1005,1202.jpg,1,train
1006,1203.jpg,1,train
1007,1204.jpg,1,train
1008,1205.jpg,1,train
1009,1206.jpg,1,train
1010,1207.jpg,1,val
1011,1208.jpg,1,train
1012,1209.jpg,1,train
1013,1210.jpg,1,train
1014,1211.jpg,1,train
1015,1212.jpg,1,train
1016,1213.jpg,1,train
1017,1214.jpg,1,train
1018,1215.jpg,1,train
1019,1216.jpg,1,train
1020,1217.jpg,1,train
1021,1218.jpg,1,train
1022,1219.jpg,1,val
1023,1220.jpg,1,val
1024,1221.jpg,1,train
1025,1222.jpg,1,train
1026,1223.jpg,1,train
1027,1224.jpg,1,train
1028,1225.jpg,1,train
1029,1226.jpg,1,test
1030,1227.jpg,1,test
1031,1228.jpg,1,train
1032,1229.jpg,1,train
1033,1230.jpg,1,train
1034,1231.jpg,1,train
1035,1232.jpg,1,train
1036,1233.jpg,1,train
1037,1234.jpg,1,train
1038,1235.jpg,1,train
1039,1236.jpg,1,train
1040,1237.jpg,1,train
1041,1238.jpg,1,train
1042,1239.jpg,1,train
1043,1240.jpg,1,train
1044,1241.jpg,1,train
1045,1242.jpg,1,test
1046,1243.jpg,1,test
1047,1244.jpg,1,val
1048,1245.jpg,1,test
1049,1246.jpg,1,val
1050,1247.jpg,1,val
1051,1248.jpg,1,train
1052,1249.jpg,1,val
1053,1250.jpg,1,train
1054,1251.jpg,1,train
1055,1252.jpg,1,test
1056,1253.jpg,1,train
1057,1254.jpg,1,val
1058,1255.jpg,1,val
1059,1256.jpg,1,train
1060,1257.jpg,1,test
1061,1258.jpg,1,train
1062,1259.jpg,1,train
1063,1260.jpg,1,train
1064,1261.jpg,1,test
1065,1262.jpg,1,train
1066,1263.jpg,1,train
1067,1264.jpg,1,train
1068,1265.jpg,1,test
1069,1266.jpg,1,train
1070,1267.jpg,1,train
1071,1268.jpg,1,test
1072,1269.jpg,1,train
1073,1270.jpg,1,train
1074,1271.jpg,1,train
1075,1272.jpg,1,train
1076,1273.jpg,1,train
1077,1274.jpg,1,val
1078,1275.jpg,1,train
1079,1276.jpg,1,test
1080,1277.jpg,1,train
1081,1278.jpg,1,train
1082,1279.jpg,1,val
1083,1280.jpg,1,test
1084,1281.jpg,1,train
1085,1282.jpg,1,train
1086,1283.jpg,1,test
1087,1284.jpg,1,test
1088,1285.jpg,1,train
1089,1286.jpg,1,train
1090,1287.jpg,1,val
1091,1288.jpg,1,train
1092,1289.jpg,1,train
1093,1290.jpg,1,train
1094,1291.jpg,1,train
1095,1292.jpg,1,train
1096,1293.jpg,1,train
1097,1294.jpg,1,train
1098,1295.jpg,1,train
1099,1296.jpg,1,train
1100,1297.jpg,1,val
1101,1298.jpg,1,train
1102,1299.jpg,1,test
1103,1300.jpg,1,val
1104,1301.jpg,1,train
1105,1302.jpg,1,train
1106,1303.jpg,1,train
1107,1304.jpg,1,train
1108,1305.jpg,1,train
1109,1306.jpg,1,train
1110,1307.jpg,1,test
1111,1308.jpg,1,test
1112,1309.jpg,1,train
1113,1310.jpg,1,train
1114,1311.jpg,1,test
1115,1312.jpg,1,val
1116,1313.jpg,1,train
1117,1314.jpg,1,train
1118,1315.jpg,1,train
1119,1316.jpg,1,train
1120,1317.jpg,1,train
1121,1318.jpg,1,test
1122,1319.jpg,1,test
1123,1320.jpg,1,train
1124,1321.jpg,1,train
1125,1322.jpg,1,train
1126,1323.jpg,1,train
